,task_id,T,x(Cr),x(Cr@B2),x(Cr@Bcc),x(Cr@CBCC_A12),x(Cr@Hcp),x(Cr@Laves_C14),x(Cr@Laves_C15),x(Cr@Laves_C36),x(Cr@Liquid),x(Cr@Sigma),x(Mn),x(Mn@Bcc),x(Mn@Beta_TiMn),x(Mn@CBCC_A12),x(Mn@Laves_C14),x(Mn@Laves_C15),x(Mn@Laves_C36),x(Mn@Liquid),x(Mn@Mn3Ti),x(Mn@Mn4Ti),x(Mn@Sigma),x(Nb),x(Nb@B2),x(Nb@Bcc#1),x(Nb@Bcc#2),x(Nb@Bcc),x(Nb@Laves_C14),x(Nb@Laves_C15),x(Nb@Laves_C36),x(Nb@Liquid),x(Ti),x(Ti@Bcc#1),x(Ti@Bcc#2),x(Ti@Bcc),x(Ti@Beta_TiMn),x(Ti@CBCC_A12),x(Ti@Laves_C14),x(Ti@Laves_C15),x(Ti@Laves_C36),x(Ti@Liquid),x(Ti@Mn3Ti),x(Ti@Mn4Ti),x(V),x(V@Bcc#1),x(V@Bcc#2),x(V@Bcc),x(V@Hcp),x(V@Laves_C14),x(V@Laves_C15),x(V@Laves_C36),x(V@Liquid),x(Zr),x(Zr@Bcc#1),x(Zr@Bcc#2),x(Zr@Bcc),x(Zr@Hcp),x(Zr@Laves_C14),x(Zr@Laves_C15),x(Zr@Laves_C36),x(Zr@Liquid),w(Cr),w(Cr@B2),w(Cr@Bcc),w(Cr@CBCC_A12),w(Cr@Hcp),w(Cr@Laves_C14),w(Cr@Laves_C15),w(Cr@Laves_C36),w(Cr@Liquid),w(Cr@Sigma),w(Mn),w(Mn@Bcc),w(Mn@Beta_TiMn),w(Mn@CBCC_A12),w(Mn@Laves_C14),w(Mn@Laves_C15),w(Mn@Laves_C36),w(Mn@Liquid),w(Mn@Mn3Ti),w(Mn@Mn4Ti),w(Mn@Sigma),w(Nb),w(Nb@B2),w(Nb@Bcc#1),w(Nb@Bcc#2),w(Nb@Bcc),w(Nb@Laves_C14),w(Nb@Laves_C15),w(Nb@Laves_C36),w(Nb@Liquid),w(Ti),w(Ti@Bcc#1),w(Ti@Bcc#2),w(Ti@Bcc),w(Ti@Beta_TiMn),w(Ti@CBCC_A12),w(Ti@Laves_C14),w(Ti@Laves_C15),w(Ti@Laves_C36),w(Ti@Liquid),w(Ti@Mn3Ti),w(Ti@Mn4Ti),w(V),w(V@Bcc#1),w(V@Bcc#2),w(V@Bcc),w(V@Hcp),w(V@Laves_C14),w(V@Laves_C15),w(V@Laves_C36),w(V@Liquid),w(Zr),w(Zr@Bcc#1),w(Zr@Bcc#2),w(Zr@Bcc),w(Zr@Hcp),w(Zr@Laves_C14),w(Zr@Laves_C15),w(Zr@Laves_C36),w(Zr@Liquid),P,log10(P),phase_name,G,H,S,G(@Bcc),H(@Bcc),S(@Bcc),G(@Laves_C15),H(@Laves_C15),S(@Laves_C15),G(@Laves_C36),H(@Laves_C36),S(@Laves_C36),G(@Laves_C14),H(@Laves_C14),S(@Laves_C14),G(@Liquid),H(@Liquid),S(@Liquid),G(@Bcc#1),G(@Bcc#2),H(@Bcc#1),H(@Bcc#2),S(@Bcc#1),S(@Bcc#2),G(@Hcp),H(@Hcp),S(@Hcp),G(@Beta_TiMn),H(@Beta_TiMn),S(@Beta_TiMn),G(@B2),H(@B2),S(@B2),G(@CBCC_A12),H(@CBCC_A12),S(@CBCC_A12),G(@Sigma),H(@Sigma),S(@Sigma),G(@Mn3Ti),G(@Mn4Ti),H(@Mn3Ti),H(@Mn4Ti),S(@Mn3Ti),S(@Mn4Ti),f(@B2),f(@Bcc#1),f(@Bcc#2),f(@Bcc),f(@Beta_TiMn),f(@CBCC_A12),f(@Hcp),f(@Laves_C14),f(@Laves_C15),f(@Laves_C36),f(@Liquid),f(@Mn3Ti),f(@Mn4Ti),f(@Sigma)
1323,2191,1200.0,,,,,,,,,,,20.0,20.0,,,,,,,,,,50.0,,,,50.0,,,,,10.0,,,10.0,,,,,,,,,20.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,15.1727,15.1727,,,,,,,,,,64.1465,,,,64.1465,,,,,6.61171,,,6.61171,,,,,,,,,14.0691,,,14.0691,,,,,,,,,,,,,,,1.0,5.0,Bcc,-94548.27514,39207.66742,90.79587453,-94548.27514,39207.66742,90.79587453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
1324,2192,1200.0,10.0,,5.81599,,,14.3720963,,,,,20.0,6.90211,,,33.68670275,,,,,,,50.0,,,,65.7216,33.57161627,,,,20.0,,,21.5603,,,18.36958468,,,,,,,,,,,,,,,,,,,,,,,,7.20005,,3.8672,,,11.32858595,,,,,15.2149,4.84905,,,28.05543454,,,,,,,64.3249,,,,78.0826,47.28263411,,,,13.2602,,,13.2011,,,13.3333454,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc+Laves_C14,-93538.92591,36514.64786,88.2826418,-90606.10271,38655.3664,87.7449473,,,,,,,-96603.59308,34277.69413,88.84450817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510992,,,,0.4890084047,,,,,,
1325,2193,1200.0,,,,,,,,,,,20.0,6.098827599,,,40.8867,,,,,,,50.0,,,,66.63618304,25.0039,,,,20.0,,,21.30237406,,,18.0432,,,,,,,,,,,,,,,10.0,,,5.962615302,,16.0663,,,,,,,,,,,,,,14.431,4.141700956,,,32.5599,,,,,,,61.0108,,,,76.52677488,33.6728,,,,12.577,,,12.60786891,,,12.5226,,,,,,,,,,,,,,,11.9812,,,6.72365526,,21.2447,,,,1.0,5.0,Laves_C14+Bcc,-96391.21088,33822.2322,88.39116389,-91874.85619,38231.26233,88.3183101,,,,,,,-103177.1128,27197.58734,88.50062797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6004023915,,,,0.399598,,,,,,
1326,2194,1200.0,,,,,,,,,,,20.0,15.6966,,,48.77434403,,,,,,,50.0,,,,52.4193,33.8231721,,,,20.0,,,20.3886,,,17.40188821,,,,,,10.0,,,11.4955,,0.0005956706915,,,,,,,,,,,,,,,,,,,,,,,15.2371,11.8223,,,40.26288716,,,,,,,64.4189,,,,66.7662,47.21703687,,,,13.2796,,,13.3833,,,12.51962001,,,,,,7.06441,,,8.0283,,0.0004559559164,,,,,,,,,,,,,1.0,5.0,Bcc+Laves_C14,-94308.38431,38505.05203,90.15608481,-93933.11766,39244.87858,90.40355445,,,,,,,-96817.59597,33558.21921,88.50138491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.869901,,,,0.1300986225,,,,,,
1327,2195,1200.0,,,,,,,,,,,20.0,9.58903,,,35.06028318,,,,,,,50.0,,,,58.6001,37.55924021,,,,30.0,,,31.8108,,,27.38047661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3021,7.02946,,,28.63471084,,,,,,,64.6936,,,,72.6468,51.87583471,,,,20.0043,,,20.3237,,,19.48945445,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc+Laves_C14,-92193.36929,38023.15922,88.39325833,-90335.96086,39094.23744,87.85948362,,,,,,,-94880.25619,36473.76059,89.16540528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591266,,,,0.408734092,,,,,,
1328,2196,1200.0,20.0,,5.19891,,,31.91173216,,,,,20.0,4.42754,,,32.53252422,,,,,,,60.0,,,,90.3735,35.55574362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4826,,3.03399,,,24.58234003,,,,,14.2455,2.73003,,,26.47850832,,,,,,,72.2719,,,,94.236,48.93915165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc+Laves_C14,-90301.80826,33285.10906,83.89296224,-86538.16335,35417.35933,82.78554301,,,,,,,-93330.7435,31569.1002,84.78419965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445918,,,,0.5540817816,,,,,,
1329,2197,1200.0,10.0,,3.15381,,,18.58406781,,,,,20.0,3.45148,,,40.74930071,,,,,,,60.0,,,,89.9178,22.48770522,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,3.47692,,18.17892626,,,,6.41505,,1.81708,,,13.89839852,,,,,13.556,2.1011,,,32.19934587,,,,,,,68.7741,,,,92.5673,30.04989409,,,,,,,,,,,,,,,,,,,,,,,,,11.2548,,,3.51457,,23.85236152,,,,1.0,5.0,Bcc+Laves_C14,-94627.10321,30084.78694,84.65661348,-87659.56111,35248.48304,83.43213125,,,,,,,-103363.327,23610.30798,86.19192544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556314,,,,0.4436860654,,,,,,
1330,2198,1200.0,,,,,,,,,,,20.0,4.57824,,,56.25771714,,,,,,,60.0,,,,79.2116,14.83208306,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,16.2102,,28.91019981,,,,,,,,,,,,,,12.9302,2.76714,,,43.49416191,,,,,,,65.5992,,,,80.9641,19.39196987,,,,,,,,,,,,,,,,,,,,,,,,,21.4705,,,16.2688,,37.11386821,,,,1.0,5.0,Bcc+Laves_C14,-95031.18489,29370.54794,84.44607327,-89975.00308,36771.8258,86.0379655,,,,,,,-106918.6506,11969.58421,80.70341429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.701588,,,,0.2984116508,,,,,,
1331,2199,1200.0,10.0,,5.14946,,,21.68484191,,,,,20.0,10.571,,,42.71417374,,,,,,,60.0,,,,70.1287,35.60031996,,,,,,,,,,,,,,,,10.0,,,14.1509,,0.000664391354,,,,,,,,,,,,,6.75054,,3.31181,,,16.62605906,,,,,14.265,7.18329,,,34.60253993,,,,,,,72.3708,,,,80.5884,48.77090193,,,,,,,,,,,,,,,,6.6137,,,8.91646,,0.000499071865,,,,,,,,,,,,,1.0,5.0,Bcc+Laves_C14,-92246.74136,35692.52253,86.84741126,-90933.67561,37759.01052,87.35884745,,,,,,,-95409.88339,30714.40548,85.61537445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706657,,,,0.2933433425,,,,,,
1332,22,1200.0,70.0,,72.8913,,,,63.69875468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,26.7548,,,5.278545088,,,10.0,,,0.353936,,,31.02270023,,,65.3357,,73.0925,,,,51.66250326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2889,,,26.2848,,,4.194351237,,,16.3754,,,0.622675,,,44.1431455,,,1.0,5.0,Bcc+Laves_C15,-83240.65674,26796.78079,74.69533825,-80004.72708,34246.6073,77.55580516,-90293.0675,10560.56987,68.46121398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.685476,,,,,0.3145239691,,,,,
