,task_id,T,x(Cr),x(Cr@B2),x(Cr@Bcc),x(Cr@CBCC_A12),x(Cr@Hcp),x(Cr@Laves_C14),x(Cr@Laves_C15),x(Cr@Laves_C36),x(Cr@Liquid),x(Cr@Sigma),x(Mn),x(Mn@Bcc),x(Mn@Beta_TiMn),x(Mn@CBCC_A12),x(Mn@Laves_C14),x(Mn@Laves_C15),x(Mn@Laves_C36),x(Mn@Liquid),x(Mn@Mn3Ti),x(Mn@Mn4Ti),x(Mn@Sigma),x(Nb),x(Nb@B2),x(Nb@Bcc#1),x(Nb@Bcc#2),x(Nb@Bcc),x(Nb@Laves_C14),x(Nb@Laves_C15),x(Nb@Laves_C36),x(Nb@Liquid),x(Ti),x(Ti@Bcc#1),x(Ti@Bcc#2),x(Ti@Bcc),x(Ti@Beta_TiMn),x(Ti@CBCC_A12),x(Ti@Laves_C14),x(Ti@Laves_C15),x(Ti@Laves_C36),x(Ti@Liquid),x(Ti@Mn3Ti),x(Ti@Mn4Ti),x(V),x(V@Bcc#1),x(V@Bcc#2),x(V@Bcc),x(V@Hcp),x(V@Laves_C14),x(V@Laves_C15),x(V@Laves_C36),x(V@Liquid),x(Zr),x(Zr@Bcc#1),x(Zr@Bcc#2),x(Zr@Bcc),x(Zr@Hcp),x(Zr@Laves_C14),x(Zr@Laves_C15),x(Zr@Laves_C36),x(Zr@Liquid),w(Cr),w(Cr@B2),w(Cr@Bcc),w(Cr@CBCC_A12),w(Cr@Hcp),w(Cr@Laves_C14),w(Cr@Laves_C15),w(Cr@Laves_C36),w(Cr@Liquid),w(Cr@Sigma),w(Mn),w(Mn@Bcc),w(Mn@Beta_TiMn),w(Mn@CBCC_A12),w(Mn@Laves_C14),w(Mn@Laves_C15),w(Mn@Laves_C36),w(Mn@Liquid),w(Mn@Mn3Ti),w(Mn@Mn4Ti),w(Mn@Sigma),w(Nb),w(Nb@B2),w(Nb@Bcc#1),w(Nb@Bcc#2),w(Nb@Bcc),w(Nb@Laves_C14),w(Nb@Laves_C15),w(Nb@Laves_C36),w(Nb@Liquid),w(Ti),w(Ti@Bcc#1),w(Ti@Bcc#2),w(Ti@Bcc),w(Ti@Beta_TiMn),w(Ti@CBCC_A12),w(Ti@Laves_C14),w(Ti@Laves_C15),w(Ti@Laves_C36),w(Ti@Liquid),w(Ti@Mn3Ti),w(Ti@Mn4Ti),w(V),w(V@Bcc#1),w(V@Bcc#2),w(V@Bcc),w(V@Hcp),w(V@Laves_C14),w(V@Laves_C15),w(V@Laves_C36),w(V@Liquid),w(Zr),w(Zr@Bcc#1),w(Zr@Bcc#2),w(Zr@Bcc),w(Zr@Hcp),w(Zr@Laves_C14),w(Zr@Laves_C15),w(Zr@Laves_C36),w(Zr@Liquid),P,log10(P),phase_name,G,H,S,G(@Bcc),H(@Bcc),S(@Bcc),G(@Laves_C15),H(@Laves_C15),S(@Laves_C15),G(@Laves_C36),H(@Laves_C36),S(@Laves_C36),G(@Laves_C14),H(@Laves_C14),S(@Laves_C14),G(@Liquid),H(@Liquid),S(@Liquid),G(@Bcc#1),G(@Bcc#2),H(@Bcc#1),H(@Bcc#2),S(@Bcc#1),S(@Bcc#2),G(@Hcp),H(@Hcp),S(@Hcp),G(@Beta_TiMn),H(@Beta_TiMn),S(@Beta_TiMn),G(@B2),H(@B2),S(@B2),G(@CBCC_A12),H(@CBCC_A12),S(@CBCC_A12),G(@Sigma),H(@Sigma),S(@Sigma),G(@Mn3Ti),G(@Mn4Ti),H(@Mn3Ti),H(@Mn4Ti),S(@Mn3Ti),S(@Mn4Ti),f(@B2),f(@Bcc#1),f(@Bcc#2),f(@Bcc),f(@Beta_TiMn),f(@CBCC_A12),f(@Hcp),f(@Laves_C14),f(@Laves_C15),f(@Laves_C36),f(@Liquid),f(@Mn3Ti),f(@Mn4Ti),f(@Sigma)
0,-1,C,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1200.0,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc,-66.55888687,36.30579426,0.06982634567,-66558.88687,36305.79426,69.82634567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,
2,1,1200.0,90.0,,99.8175,,,,66.71465706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,0.182527,,,33.28534294,,,83.6863,,99.6802,,,,53.32399755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3137,,,0.319792,,,46.67600245,,,1.0,5.0,Bcc+Laves_C15,-73428.2329,27848.26716,68.74826057,-66706.05047,36361.70462,69.96419583,-89372.09495,7655.855909,65.86427102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703425,,,,,0.2965750129,,,,,
3,10,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,100.0,,,,,,1.0,5.0,Bcc,-92.77166921,39.1083342,0.08952245421,-92771.66921,39108.3342,89.52245421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,
4,100,1200.0,50.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,,,,40.0,,,40.0,,,,,,,,,,,,,,,50.8143,,50.8143,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35836,,,9.35836,,,,,,,,,39.8274,,,39.8274,,,,,,,,,,,,,,,1.0,5.0,Bcc,-85761.10982,34466.79337,81.61280466,-85761.10982,34466.79337,81.61280466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
5,1000,1200.0,,,,,,,,,,,,,,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc,-84.36067951,32.40042618,0.07925948185,-84360.67951,32400.42618,79.25948185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,,,
6,1001,1200.0,90.0,,90.0,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.4936,,89.4936,,,,,,,,10.5064,10.5064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,Bcc,-71993.87474,34967.93359,72.60754732,-71993.87474,34967.93359,72.60754732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
7,1002,1200.0,80.0,,91.3457,,,,,52.82392288,,,10.0,8.3886,,,,,13.85973224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,0.265657,,,,33.31634487,,73.9985,,90.7332,,,,,41.95055911,,,9.77318,8.80381,,,,,11.62960203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2283,,,0.462954,,,,46.41983885,,1.0,5.0,Bcc+Laves_C36,-78815.18445,28119.6947,72.58926732,-71519.25148,35191.50207,72.43712694,,,,-96290.88842,11180.83126,72.95368407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705472,,,,,,0.2945276885,,,,
8,1003,1200.0,70.0,,92.78484978,,,,,54.6465,,,10.0,6.954731146,,,,,12.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,0.260419078,,,,33.3014,,60.525,,92.24064948,,,,,43.4372,,,9.13566,7.305139927,,,,,10.1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3393,,,0.4542105908,,,,46.4409,,1.0,5.0,Laves_C36+Bcc,-85562.83587,21074.2072,72.38709097,-70868.51537,35349.09875,72.10237527,,,,-95464.52738,11455.1457,72.57894517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4025730474,,,,,,0.597427,,,,
9,1004,1200.0,60.0,,96.41946221,,,55.8272,,,,,10.0,2.878499221,,,10.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,0.702038565,,33.3569,,,,48.7017,,95.75633333,,,44.3855,,,,,8.57621,3.02045124,,,9.08582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7221,,,1.223215425,,46.5287,,,,1.0,5.0,Laves_C14+Bcc,-88919.74453,29381.8065,80.3051631,-69036.54359,36030.26906,71.32119108,,,,,,,-91197.90862,28620.04341,81.33452264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1027989066,,,,0.897201,,,,,,
10,1005,1200.0,50.0,,5.68896,,,,,53.17973599,,,10.0,2.34315,,,,,10.54945157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,91.9679,,,,36.27081244,,38.2428,,3.35598,,,,,41.55928288,,,8.08133,1.46046,,,,,8.710732171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.6759,,,95.1836,,,,49.72998495,,1.0,5.0,Bcc+Laves_C36,-95207.23367,15410.99412,75.08958883,-94477.74184,38430.50238,90.22044206,,,,-95259.58158,13759.12754,74.00380757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0669548,,,,,,0.9330452161,,,,
11,1006,1200.0,40.0,,5.60286,,,,,52.48383903,12.52989187,,10.0,2.54438,,,,,11.32900218,12.30619482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,91.8528,,,,36.18715879,75.16391331,28.9252,,3.30666,,,,,41.02154054,7.960381292,,7.64044,1.58659,,,,,9.355800266,8.260631391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4344,,,95.1067,,,,49.62265919,83.77898732,1.0,5.0,Bcc+Laves_C36+Liquid,-95746.49819,22060.83074,79.9696765,-94564.97621,38353.90105,90.22765995,,,,-95617.24628,13593.48503,74.13415559,,,,-98150.92678,50395.38571,100.8358365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164565,,,,,,0.716075792,0.1193593852,,,
12,1007,1200.0,30.0,,5.602858194,,,,,52.48383904,12.5299,,10.0,2.54438261,,,,,11.32900218,12.3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,91.8527592,,,,36.18715878,75.1639,20.5716,,3.306660278,,,,,41.02154056,7.96038,,7.24518,1.586592058,,,,,9.355800262,8.26063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1833,,,95.10674766,,,,49.62265918,83.779,1.0,5.0,Liquid+Laves_C36+Bcc,-96281.51777,30818.22525,86.2775298,-94564.97621,38353.90105,90.22765995,,,,-95617.24628,13593.48502,74.13415558,,,,-98150.92678,50395.3857,100.8358365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1891921587,,,,,,0.4700574061,0.34075,,,
13,1008,1200.0,20.0,,5.60285816,,,,,52.48383958,12.5299,,10.0,2.544382386,,,,,11.32900149,12.3062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,91.85275945,,,,36.18715893,75.1639,13.0398,,3.306660254,,,,,41.02154096,7.96038,,6.88879,1.586591917,,,,,9.355799691,8.26063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0714,,,95.10674783,,,,49.62265935,83.779,1.0,5.0,Liquid+Laves_C36+Bcc,-96816.5372,39575.6202,92.58538329,-94564.97612,38353.90113,90.22765995,,,,-95617.24597,13593.48522,74.13415551,,,,-98150.92655,50395.3858,100.8358364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2138194757,,,,,,0.2240390179,0.562142,,,
14,1009,1200.0,10.0,,5.260341384,,,,,,11.8301,,10.0,2.675924154,,,,,,12.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,92.06373446,,,,,75.342,6.21422,,3.101466156,,,,,,7.50796,,6.56583,1.666977839,,,,,,8.60192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.22,,,95.23155601,,,,,83.8901,1.0,5.0,Liquid+Bcc,-97347.88024,46959.24186,97.95819985,-94634.81658,38290.42944,90.23198318,,,,,,,,,,-98395.44416,50306.4302,100.9414346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2785609294,,,,,,,0.721439,,,
15,101,1200.0,40.0,,36.9161,,,,45.92358666,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.4761,,,,9.085424257,,,,,40.0,,,50.7948,,,19.26503822,,,10.0,,,1.81295,,,25.72595087,,,37.7565,,37.0984,,,,38.81991641,,,,,,,,,,,,,,,,,,,,,,,,8.69193,,,9.69446,,,,7.072097108,,,,,36.9912,,,50.0108,,,15.95492357,,,16.5604,,,3.19642,,,38.15306291,,,1.0,5.0,Bcc+Laves_C15,-89502.98291,29433.25787,80.73600161,-87562.76256,34480.61838,82.84518273,-93229.81755,19738.13327,76.68462194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657632,,,,,0.3423683639,,,,,
16,1010,1200.0,,,,,,,,,,,10.0,5.17939,,,,,,21.97234149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,94.8206,,,,,78.02765851,,,,,,,,,,,6.27179,3.18481,,,,,,14.49970345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7282,,,96.8152,,,,,85.50029655,1.0,5.0,Bcc+Liquid,-96676.02027,40614.64665,93.19530728,-95099.22919,37170.72026,89.78715639,,,,,,,,,,-100592.0938,49167.88441,101.659694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.712938,,,,,,,0.2870617049,,,
17,1011,1200.0,80.0,,80.0,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,,,,,,,,,,79.7106,,79.7106,,,,,,,,10.5276,10.5276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.76185,,,9.76185,,,,,,,,,,,,,,,1.0,5.0,Bcc,-78498.33583,34133.07902,76.45617544,-78498.33583,34133.07902,76.45617544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
18,1012,1200.0,70.0,,77.8604,,,,,51.03422355,,,10.0,7.67016,,,,,15.62151913,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,14.14,,,,0.01084454067,,10.0,,,0.329455,,,,33.33341279,,64.8704,,77.5533,,,,,40.49312786,,,9.79154,8.07219,,,,,13.09622078,,,,,,,,,,,,,,,,,,,,,,,,,,9.07934,,,13.7988,,,,0.008430183565,,16.2588,,,0.575731,,,,46.40222118,,1.0,5.0,Bcc+Laves_C36,-84780.86022,27347.21712,76.11450113,-79690.70076,34150.60414,77.27746998,,,,-97062.56851,10931.77562,73.30845069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706988,,,,,,0.2930116399,,,,
19,1013,1200.0,60.0,,69.747,,,,,53.34367709,,,10.0,5.19049,,,,,13.28447792,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,24.5932,,,,0.03415332954,,20.0,,,0.4694,,,,33.33769166,,51.9697,,69.643,,,,,42.36909214,,,9.1517,5.47599,,,,,11.14842741,,,,,,,,,,,,,,,,,,,,,,,,,,8.48603,,,24.0587,,,,0.0265769607,,30.3926,,,0.822308,,,,46.45590349,,1.0,5.0,Bcc+Laves_C36,-90520.90589,20518.29948,75.37535579,-82402.51304,34034.75111,79.03965255,,,,-96065.05821,11287.74512,72.87296156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.405792,,,,,,0.5942079426,,,,
20,1014,1200.0,50.0,,44.51874873,,,,54.13333028,47.2102,,,10.0,6.936503981,,,,0.0,19.2705,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,47.09797964,,,14.8486296,0.00544906,,30.0,,,1.446767649,,,31.01804012,33.5139,,40.6516,,44.28436654,,,,43.97496445,37.3574,,,8.59034,7.290394629,,,,0.0,16.1115,,,,,,,,,,,,,,,,,,,,,,,,,,7.96551,,,45.90033144,,,11.81770601,0.00422443,,42.7925,,,2.524907386,,,44.20732954,46.5269,,1.0,5.0,Laves_C36+Laves_C15+Bcc,-94829.41207,13769.28452,73.71869572,-87606.48845,33679.13,82.33080029,-91835.50916,13916.14122,71.78607093,-98578.69589,10565.41744,74.08893414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07591788932,,,,,0.4324805324,0.491602,,,,
21,1015,1200.0,40.0,,,,,,49.5965,45.22625856,11.72752188,,10.0,,,,,0.0,20.20409246,17.25297272,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,16.203,0.001226043386,10.70778195,40.0,,,,,,34.2005,34.56842294,60.31172345,30.6418,,,,,,39.5274,35.54879539,8.018222073,,8.09388,,,,,0.0,16.77940223,12.46346143,,,,,,,,,,,,,,,,,,,,,,,,,7.50516,,,,,,12.6516,0.0009441611423,7.172613076,53.7592,,,,,,47.821,47.67085822,72.34570342,1.0,5.0,Laves_C15+Liquid+Laves_C36,-96384.92988,21034.00086,79.70602501,,,,-92566.9757,14644.51864,72.77703855,-99100.42414,11255.97217,74.91185304,,,,-100829.0982,48795.739,101.5679579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473245,0.3090018587,0.2177535472,,,
22,1016,1200.0,30.0,,,,,,51.86231861,46.88417311,11.9304,,10.0,,,,,0.0,18.31781898,16.1546,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,13.66550485,0.001378563989,8.65845,50.0,,,,,,34.47217653,34.79662934,63.2566,21.7257,,,,,,41.24887251,36.83300605,8.03598,,7.65166,,,,,0.0,15.20504033,11.497,,,,,,,,,,,,,,,,,,,,,,,,,7.0951,,,,,,10.64858472,0.001061069642,5.71388,63.5275,,,,,,48.10254278,47.96089255,74.7532,1.0,5.0,Liquid+Laves_C15+Laves_C36,-97247.45303,32634.06001,88.16584396,,,,-92450.35446,13800.35288,72.12483952,-98429.95907,11661.6429,74.73210601,,,,-100569.2926,49046.15686,101.5615854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3904716761,0.07087449898,0.538654,,,
23,1017,1200.0,20.0,,,,,,50.45287688,,12.2913,,10.0,,,,,0.0,,12.5314,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,14.64967465,,8.823,60.0,,,,,,34.89744848,,66.3544,13.7335,,,,,,40.03206483,,8.16204,,7.25526,,,,,0.0,,8.79231,,,,,,,,,,,,,,,,,,,,,,,,,6.72754,,,,,,11.38822639,,5.74016,72.2837,,,,,,48.57970878,,77.3055,1.0,5.0,Liquid+Laves_C15,-97980.3593,42443.10562,95.32190539,,,,-92541.70565,14448.38355,72.62674486,,,,,,,-99357.07949,49529.58353,101.0668724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2020021527,,0.797998,,,
24,1018,1200.0,10.0,,,,,,,,10.0,,10.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,10.0,70.0,,,,,,,,70.0,6.52852,,,,,,,,6.52852,,6.89791,,,,,,,6.89791,,,,,,,,,,,,,,,,,,,,,,,,,6.39618,,,,,,,,6.39618,80.1774,,,,,,,,80.1774,1.0,5.0,Liquid,-98402.6047,49850.47885,100.6367875,,,,,,,,,,,,,-98402.6047,49850.47885,100.6367875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
25,1019,1200.0,,,,,,,,,,,10.0,3.499688604,,,,,,15.773,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,5.988209705,,,,,13.5629,80.0,,,90.51210169,,,,,70.6641,,,,,,,,,,,6.57411,2.196271973,,,,,,10.8267,,,,,,,,,,,,,,,,,,,,,,,,,6.09593,,,3.484631543,,,,,8.63252,87.33,,,94.31909648,,,,,80.5408,1.0,5.0,Liquid+Bcc,-97193.18088,43976.3599,95.82835474,-94902.22097,38337.85618,90.44569606,,,,,,,,,,-99227.81264,48983.98952,100.608765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4703707398,,,,,,,0.529629,,,
26,102,1200.0,30.0,,22.34583135,,,,33.7254,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,12.84352971,,,,8.61602,,,,,40.0,,,61.06742226,,,29.7462,,,20.0,,,3.74321668,,,27.9124,,,26.4349,,22.21930034,,,,28.1577,,,,,,,,,,,,,,,,,,,,,,,,8.1141,,,11.75986846,,,,6.62416,,,,,34.532,,,59.49075865,,,24.332,,,30.919,,,6.530072549,,,40.8861,,,1.0,5.0,Laves_C15+Bcc,-91746.7546,26965.8461,80.58419081,-88172.43551,34837.11167,83.50103328,-93486.41927,23134.8052,79.16452803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3273748559,,,,,0.672625,,,,,
27,1020,1200.0,70.0,,70.0,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,20.0,,,,,,,,,,,,,,,69.8879,,69.8879,,,,,,,,10.5489,10.5489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5632,,,19.5632,,,,,,,,,,,,,,,1.0,5.0,Bcc,-82586.08454,33848.34377,79.03772753,-82586.08454,33848.34377,79.03772753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
28,1021,1200.0,60.0,,64.2263,,,,,49.56064247,,,10.0,7.14102,,,,,17.06194074,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,28.092,,,,0.01199330626,,10.0,,,0.540651,,,,33.36542349,,55.7078,,64.0709,,,,,39.29098432,,,9.80997,7.52681,,,,,14.29181285,,,,,,,,,,,,,,,,,,,,,,,,,,18.1929,,,27.456,,,,0.009315388279,,16.2894,,,0.946246,,,,46.40788744,,1.0,5.0,Bcc+Laves_C36,-88088.18303,27252.8126,78.29548629,-84209.76202,33933.33449,80.19760141,,,,-97668.22229,10751.33895,73.5970955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711823,,,,,,0.2881771711,,,,
29,1022,1200.0,50.0,,48.59785124,,,,56.25926293,48.6163,,,10.0,6.39611509,,,,0.0,17.8976,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,43.80496088,,,12.77049858,0.00858218,,20.0,,,1.201072796,,,30.97023849,33.4775,,43.3842,,48.41384005,,,,45.69970579,38.5021,,,9.16779,6.732426851,,,,0.0,14.9762,,,,,,,,,,,,,,,,,,,,,,,,,,17.0019,,,42.75449853,,,10.16326561,0.00665895,,30.4461,,,2.099234573,,,44.1370286,46.5151,,1.0,5.0,Laves_C36+Bcc+Laves_C15,-92416.38424,20458.82708,76.62166875,-86994.79639,33746.29145,81.96116338,-91616.35011,13192.22088,71.14589213,-98043.60553,10718.69555,73.82975331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4034252924,,,,,0.1820142754,0.41456,,,,
30,1023,1200.0,40.0,,35.52109141,,,22.85859068,48.4273,,,,10.0,8.128133542,,,31.96716449,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,54.16822149,,11.52447069,20.3438,,,30.0,,,2.182553551,,33.64977414,31.2289,,,32.575,,35.1664452,,,18.00428342,39.3245,,,,8.60453,8.502289896,,,26.60317159,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9573,,,52.54033065,,8.893105287,16.1849,,,42.8632,,,3.790934259,,46.4994397,44.4906,,,1.0,5.0,Laves_C15+Laves_C14+Bcc,-95268.54232,17887.76516,76.81248174,-88631.1216,33575.99188,82.95632725,-92191.48983,15859.29353,73.34676262,,,,-103400.1334,18706.30827,82.88798944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06696162711,,,,0.2957949845,0.637243,,,,,
31,1024,1200.0,30.0,,,,,20.8513,42.93961668,,11.36389511,,10.0,,,,28.9946,0.0,,17.21402244,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,15.425,23.39693031,,16.41770733,40.0,,,,,34.7291,33.66345301,,55.00437512,23.0171,,,,,16.3502,34.37290269,,7.994926142,,8.10647,,,,24.0221,0.0,,12.79594941,,,,,,,,,,,,,,,,,,,,,,,,,15.0337,,,,,11.8501,18.34944712,,11.31633525,53.8428,,,,,47.7775,47.2776502,,67.8927892,1.0,5.0,Laves_C14+Laves_C15+Liquid,-96584.5478,26898.94566,83.82275631,,,,-92603.65102,17265.33883,74.58099301,,,,-102570.6052,20816.26939,83.7571697,-100404.1354,48550.14643,101.1127732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173855,0.5379459114,,0.2881993323,,,
32,1025,1200.0,20.0,,,,,,39.9818654,,11.1564,,10.0,,,,,0.0,,14.4258,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,26.0387191,,17.3274,50.0,,,,,,33.9794155,,57.0904,14.5051,,,,,,31.95795866,,7.77251,,7.66291,,,,,0.0,,10.6189,,,,,,,,,,,,,,,,,,,,,,,,,14.2111,,,,,,20.39114678,,11.8271,63.6209,,,,,,47.65089456,,69.7815,1.0,5.0,Liquid+Laves_C15,-97416.94194,39467.04498,92.91924578,,,,-92555.21939,18453.85593,75.35490297,,,,,,,-99568.65297,48767.10484,100.6929083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3067985185,,0.693201,,,
33,1026,1200.0,10.0,,,,,,,,10.0,,10.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,20.0,60.0,,,,,,,,60.0,6.8763,,,,,,,,6.8763,,7.26537,,,,,,,7.26537,,,,,,,,,,,,,,,,,,,,,,,,,13.4738,,,,,,,,13.4738,72.3845,,,,,,,,72.3845,1.0,5.0,Liquid,-97820.11928,49123.72538,99.74805326,,,,,,,,,,,,,-97820.11928,49123.72538,99.74805326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
